Index,X,Y,Z
0,25,1,0.55334
1,27,1,0.65768
2,29,1,0.66427
3,31,1,0.55959
4,22,2,0.54864
5,24,2,0.90052
6,26,2,1.0844
7,28,2,1.1094
8,30,2,1.0989
9,32,2,0.91256
10,34,2,0.5627
11,19,3,0.54891
12,21,3,0.89575
13,23,3,1.1729
14,25,3,1.3805
15,27,3,0.99265
16,29,3,1.0116
17,31,3,1.3972
18,33,3,1.1905
19,35,3,0.91197
20,37,3,0.56132
21,18,4,0.65448
22,20,4,1.0724
23,22,4,1.3709
24,24,4,1.0121
25,26,4,0.9811
26,28,4,1.3058
27,30,4,0.99463
28,32,4,1.0343
29,34,4,1.393
30,36,4,1.0983
31,38,4,0.67672
32,17,5,0.65675
33,19,5,1.088
34,21,5,0.97693
35,23,5,0.96617
36,25,5,1.3453
37,27,5,1.0869
38,29,5,1.0996
39,31,5,1.2706
40,33,5,0.98518
41,35,5,1.0012
42,37,5,1.1102
43,39,5,0.678
44,16,6,0.5442
45,19,6,1.0678
46,22,6,0.97794
47,25,6,1.2541
48,28,6,1.06
49,31,6,1.3585
50,34,6,1.3771
51,37,6,1.3682
52,40,6,1.0795
53,43,6,1.2708
54,46,6,0.99918
55,49,6,1.0826
56,52,6,0.55232
57,17,7,0.87857
58,19,7,1.3312
59,21,7,0.91167
60,23,7,1.0207
61,25,7,1.3386
62,27,7,0.90181
63,29,7,0.91983
64,31,7,1.3467
65,33,7,1.0276
66,35,7,0.91844
67,37,7,1.3407
68,39,7,0.88454
69,16,8,0.54501
70,18,8,1.1379
71,20,8,0.95153
72,22,8,0.8549
73,24,8,1.2815
74,26,8,0.91768
75,28,8,0.85094
76,30,8,0.91769
77,32,8,1.2815
78,34,8,0.8549
79,36,8,0.95152
80,38,8,1.1379
81,40,8,0.54501
82,17,9,0.88453
83,19,9,1.3407
84,21,9,0.91844
85,23,9,1.0276
86,25,9,1.3467
87,27,9,0.91983
88,29,9,0.9018
89,31,9,1.3386
90,33,9,1.0207
91,35,9,0.91165
92,37,9,1.3312
93,39,9,0.87856
94,16,10,0.55232
95,18,10,1.0826
96,20,10,0.99917
97,22,10,1.2708
98,24,10,1.0794
99,26,10,1.3682
100,28,10,1.3771
101,30,10,1.3585
102,32,10,1.0599
103,34,10,1.2541
104,36,10,0.97793
105,38,10,1.0678
106,40,10,0.54419
107,17,11,0.67799
108,19,11,1.1102
109,21,11,1.0012
110,23,11,0.98516
111,25,11,1.2706
112,27,11,1.0996
113,29,11,1.0869
114,31,11,1.3453
115,33,11,0.96614
116,35,11,0.97691
117,37,11,1.088
118,39,11,0.65674
119,18,12,0.67671
120,20,12,1.0983
121,22,12,1.393
122,24,12,1.0342
123,26,12,0.99461
124,28,12,1.3058
125,30,12,0.98109
126,32,12,1.0121
127,34,12,1.3709
128,36,12,1.0724
129,38,12,0.65447
130,19,13,0.56131
131,21,13,0.91196
132,23,13,1.1905
133,25,13,1.3971
134,27,13,1.0116
135,29,13,0.99265
136,31,13,1.3805
137,33,13,1.1729
138,35,13,0.89574
139,37,13,0.5489
140,22,14,0.56269
141,24,14,0.91255
142,26,14,1.0989
143,28,14,1.1094
144,30,14,1.0843
145,32,14,0.90051
146,34,14,0.54863
147,25,15,0.55958
148,27,15,0.66427
149,29,15,0.65768
150,31,15,0.55334
